"fff1834cbcd5ba96ca75fdae9c44cf5d.net","0","omexo_dga_caf57f5b"
"35262768764bd6c908c386b532a3dc2f.net","1","omexo_dga_caf57f5b"
"7817b2bcf25367beb24b3270232e67e5.net","2","omexo_dga_caf57f5b"
"247b05f526ca169f6eff42dff26155d3.net","3","omexo_dga_caf57f5b"
"75305ca65aff1efeaf8e20efc8671f5c.net","4","omexo_dga_caf57f5b"
"7eb1d4893548f94dc8967a6f9bf465b9.net","5","omexo_dga_caf57f5b"
"fda5efbff2fc4e8b3d4ad842424672f2.net","6","omexo_dga_caf57f5b"
"8afdb277bb8ca402c88434d4767ef43f.net","7","omexo_dga_caf57f5b"
"15badd2265ddb8e5529e5180d6513d97.net","8","omexo_dga_caf57f5b"
"9fde1219ae5f14aaee395434cac6f9db.net","9","omexo_dga_caf57f5b"
"152f30e37cb39f0ea5cca988ef23b738.net","10","omexo_dga_caf57f5b"
"c582ae8c14a4d59301931063a108de9a.net","11","omexo_dga_caf57f5b"
"2394711756975c099972acc8330278e4.net","12","omexo_dga_caf57f5b"
"ea604a6c855858a03ecb98ce8234eb49.net","13","omexo_dga_caf57f5b"
"a399d1cb92b286f310ce411ed2d544fe.net","14","omexo_dga_caf57f5b"
"6a860e3b63758e43aa2c570bbb4e4ecf.net","15","omexo_dga_caf57f5b"
"ce20b6daed41f0ef94a3eb9df74827d3.net","16","omexo_dga_caf57f5b"
"cac83d32efa269055d351fcb3a92647d.net","17","omexo_dga_caf57f5b"
"f5d4039e37f977b46ccb2e966d571b53.net","18","omexo_dga_caf57f5b"
"b5f8a75ef98aac34cdc4b4a7163db964.net","19","omexo_dga_caf57f5b"
