"ptmr1.in","2","qhost_dga_0843667c"
"ptmr3.in","4","qhost_dga_0843667c"
"ptmr8.in","6","qhost_dga_0843667c"
"ptmr21.in","8","qhost_dga_0843667c"
"ptmr55.in","10","qhost_dga_0843667c"
"ptmr144.in","12","qhost_dga_0843667c"
"ptmr377.in","14","qhost_dga_0843667c"
"ptmr987.in","16","qhost_dga_0843667c"
"ptmr2584.in","18","qhost_dga_0843667c"
"ptmr6765.in","20","qhost_dga_0843667c"
"ptmr17711.in","22","qhost_dga_0843667c"
"ptmr46368.in","24","qhost_dga_0843667c"
"ptmr121393.in","26","qhost_dga_0843667c"
"ptmr317811.in","28","qhost_dga_0843667c"
"ptmr832040.in","30","qhost_dga_0843667c"
"ptmr2178309.in","32","qhost_dga_0843667c"
"ptmr5702887.in","34","qhost_dga_0843667c"
"ptmr14930352.in","36","qhost_dga_0843667c"
"ptmr39088169.in","38","qhost_dga_0843667c"
"ptmr102334155.in","40","qhost_dga_0843667c"
"ptmr267914296.in","42","qhost_dga_0843667c"
"ptmr701408733.in","44","qhost_dga_0843667c"
"ptmr1836311903.in","46","qhost_dga_0843667c"
